Country,Stability(15%),Rights(20%),Health(15%),Safety(10%),Climate(15%),Costs(15%),Popularity(10%),TotalQuality of life(100%),Preference
San Marino,81,82,91,87,62,61,47,74,1
Hong Kong,77,85,100,97,49,61,41,74,1
Switzerland,91,99,93,99,34,44,46,74,1
Macao,90,71,100,93,48,61,44,73,1
Malta,86,72,91,92,75,41,44,72,1
Luxembourg,93,99,85,100,25,46,42,71,1
Bermuda,89,78,96,93,68,34,35,71,1
Singapore,83,89,79,100,45,55,39,71,1
Spain,64,73,87,95,74,43,66,71,1
Japan,87,86,92,97,58,27,36,70,1
Austria,83,91,97,98,27,37,47,69,1
Portugal,80,77,82,93,68,44,37,69,1
Canada,85,92,78,97,33,37,62,69,1
Germany,82,94,96,95,21,44,42,69,1
Norway,89,99,90,99,16,42,37,69,1
South Korea,81,75,92,95,56,42,39,69,1
Cyprus,67,68,77,93,75,53,50,69,1
New Zealand,91,100,81,95,35,26,37,68,1
Sweden,87,99,85,96,20,40,37,68,1
France,72,83,91,93,41,29,71,68,1
Finland,85,100,87,93,17,46,32,68,1
Denmark,86,100,85,95,17,35,45,67,1
Netherlands,84,98,83,96,20,40,37,67,1
Uruguay,67,79,75,82,77,47,30,67,1
United States,63,81,71,85,66,37,67,67,1
United Arab Emirates,82,65,65,93,62,67,28,67,1
Slovenia,80,73,83,96,40,57,32,66,1
Czechia,78,73,90,93,22,49,59,66,1
Qatar,77,60,62,94,60,70,38,66,1
Croatia,67,58,80,91,57,67,40,65,1
Israel,57,72,84,81,81,36,33,65,1
Greece,60,61,89,88,69,44,43,65,1
Poland,69,67,79,93,26,58,69,64,1
Italy,65,65,87,89,57,30,65,64,1
Hungary,70,57,81,88,42,56,57,63,1
Chile,66,79,68,87,47,54,36,63,1
Iceland,82,92,87,97,7,36,33,63,1
Belgium,75,87,88,92,20,32,40,63,1
Estonia,80,89,81,92,17,43,26,63,1
Ireland,84,90,82,96,2,35,42,62,1
Bulgaria,68,51,81,85,50,62,40,62,1
United Kingdom,76,91,78,95,6,34,42,61,1
Slovakia,73,67,77,89,34,42,41,60,1
Saudi Arabia,53,45,61,90,52,76,55,60,1
Latvia,74,74,77,87,19,55,24,60,1
Lithuania,77,75,82,88,20,43,23,60,1
Bahrain,59,45,61,92,63,72,28,59,1
Oman,68,51,64,92,43,68,31,59,1
North Macedonia,56,48,70,87,56,64,36,59,1
Romania,64,57,73,88,37,68,25,59,1
Thailand,61,40,65,96,46,55,63,58,1
Malaysia,70,58,61,91,44,46,41,58,1
Costa Rica,69,69,64,73,44,46,32,58,1
Georgia,46,63,67,88,44,58,36,57,1
Maldives,64,39,72,87,62,59,18,57,1
Samoa,76,63,50,83,46,58,14,57,1
China,69,37,67,90,56,38,57,57,1
Kuwait,66,47,66,88,32,74,25,57,1
Paraguay,57,37,51,76,78,66,35,56,1
Argentina,41,44,79,78,77,41,38,56,1
Montenegro,50,52,68,85,53,61,24,56,1
Morocco,56,40,53,87,81,45,36,56,1
Peru,55,46,54,84,70,50,34,55,1
Tunisia,38,49,60,82,79,47,39,55,1
Sri Lanka,52,43,62,92,57,56,33,55,1
Albania,58,43,64,84,55,57,26,55,1
Ecuador,61,36,60,88,57,61,27,54,1
