,location,price,bedrooms,bathrooms,garage,area,preference
0,Zapopan,22300,3,4,2,180,1
1,Real Vallarta,12500,2,2,2,100,1
2,Puertas del Tule,25000,4,4,2,187,1
3,Zapopan,58000,3,4,4,700,0
4,Heroes Nacionales,9000,3,2,2,110,1
5,Jardines del Valle,9000,3,3,2,80,1
6,Parque Metropolitano,16500,2,2,2,95,1
7,Zapopan,22300,3,4,2,180,1
8,Jardín Real,30000,3,4,4,217,1
9,Los Robles,19000,3,3,2,160,1
10,Valle Real,18000,3,2,2,184,1
11,Campo Real,6600,3,2,1,80,1
12,Zapopan,13000,3,2,4,159,1
13,Zapopan,12500,3,2,2,80,1
14,Tesistán,5000,2,1,1,48,1
15,Real de Valdepeñas,11500,2,2,2,72,1
16,Plaza Guadalupe,9000,3,1,1,80,1
17,Valle Real,25500,3,2,2,250,1
18,Valle Real,25500,3,2,2,250,1
19,Los Maestros,14000,2,2,1,340,1
20,Prados Tepeyac,28000,2,4,4,485,1
21,Colinas de San Javier,145000,3,4,4,600,0
22,La Gloria,11500,3,2,2,110,1
23,San Wenceslao,18900,2,2,1,100,1
24,El Secreto,120000,3,4,4,618,0
25,La Estancia,12500,2,2,2,90,1
26,Cd de los Niños,10800,2,1,1,90,1
27,Cd de los Niños,10800,2,1,1,100,1
28,Estrada,9700,3,2,2,90,1
29,Rinconada de la Calma,10700,2,2,2,90,1
30,Conjunto Patria,22000,3,2,2,140,1
31,Los Pinos,22000,4,2,3,240,1
32,Nuevo México,12500,3,2,2,116,1
33,La Floresta del Colli,15000,3,3,2,93,1
34,Real San Javier,35000,3,3,2,157,1
35,Real San Javier,45000,3,3,2,157,1
36,Puerta del Valle,28500,2,2,2,116,1
37,Zona Real,23000,3,3,2,160,1
38,Zapopan,15800,3,2,2,105,1
39,Rinconada de la Calma,13700,2,2,2,81,1
40,Las Fuentes,22500,4,3,2,380,1
41,Solares Residencial,26000,3,3,2,203,1
42,Zapopan,39000,2,3,3,173,1
43,Juan Manuel Vallarta,19000,2,2,1,95,1
44,Puertas del Tule,25000,4,4,2,187,1
46,Tepeyac Casino,18500,3,2,2,300,1
47,Hogares de Nuevo México,11900,2,2,2,85,1
48,La Floresta del Colli,15000,3,3,2,93,1
49,Real de Valdepeñas,11500,2,2,2,72,1
50,La Cima,17500,3,3,3,168,1
51,Los Maestros,14000,2,2,1,340,1
53,Heroes Nacionales,13000,3,2,1,1,1
54,Zapopan,7650,3,2,2,90,1
55,Valle Real,18500,1,1,1,79,1
56,Zapopan,26000,4,4,2,159,1
57,Solares Residencial,20500,3,2,2,127,1
58,Chapalita Sur,19400,3,2,2,120,1
59,El Bajío,35000,5,4,3,210,1
60,Zapopan,58000,3,4,4,700,0
61,Santa Ana Tepetitlán,19000,3,2,2,137,1
62,Lomas Altas,22200,2,2,2,90,1
64,Cd del Sol,19600,3,2,2,180,1
65,Camino Real,10900,2,1,1,80,1
67,San Wenceslao,20000,3,2,1,115,1
68,Puerta de Hierro,32000,2,2,2,200,1
69,Chapalita de Occidente,16000,2,2,2,180,1
70,Jardines de Guadalupe,24000,3,3,2,190,1
71,Arcos de Guadalupe,20500,2,2,2,100,1
72,Solares Residencial,30000,3,4,2,145,1
73,Solares Residencial,30000,3,4,2,145,1
74,Solares Residencial,30000,3,4,2,145,1
75,Jocotán Zapopan Jalisco,17000,2,2,2,90,1
77,Real Acueducto,29500,2,2,2,117,1
78,Valle Real,23000,2,2,2,85,1
79,La Estancia,12500,2,2,2,90,1
80,Zapopan,22300,3,4,2,180,1
86,Valle Real,28500,2,2,2,127,1
